Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
37;37156;Montlouis-sur-Loire;10 659;21,12;27,69;81,96;-;-;-;-;-;13,25;14,13
37;37208;Saint-Avertin;14 368;11,51;16,86;42,24;-;-;-;-;-;15,27;8,78
37;37214;Saint-Cyr-sur-Loire;16 421;13,79;16,17;41,56;-;-;-;-;-;15,27;8,78
37;37233;Saint-Pierre-des-Corps;16 236;12,86;19,18;31,43;-;-;-;-;-;15,27;8,78
37;37261;Tours;137 046;20,79;20,82;33,41;-;-;-;-;-;15,27;8,78
38;38053;Bourgoin-Jallieu;23 517;11,76;21,29;62,05;21,3;-;-;-;-;-;8,06
38;38151;Echirolles;33 169;10,35;36,36;87,26;-23,44;-;-;-;-;21,32;4,78
38;38169;Fontaine;23 586;16,84;36,6;73,42;-21,97;-;-;-;-;21,32;4,7
38;38185;Grenoble;156 203;19,74;33,7;77,45;-22,13;-;-;-;-;21,32;3,4
38;38193;L'Isle-d'Abeau;14 351;13,39;31,01;35,24;-;-;-;-;-;17;-
38;38193;L'Isle-d'Abeau;;-;-;-;-;-;-;-;-;-;10,8
38;38229;Meylan;19 044;12,58;24,6;72,04;-20,09;-;-;-;-;21,32;3,49
38;38317;Le Pont-de-Claix;11 771;11;30,45;56;-19,66;-;-;-;-;21,32;5,05
38;38382;Saint-Egrève;15 691;13,96;21,69;76,45;-21,53;-;-;-;-;21,32;4,68
38;38382;Saint-Egrève;;-;-;-;-;-;2,4;3,72;13,1;0;-
38;38421;Saint-Martin-d'Hères;35 927;20,08;40,04;92,8;-22,83;-;-;-;-;21,32;4,3
38;38474;Sassenage;10 698;19,2;35,77;81,32;-20,32;-;-;-;-;21,32;3,78
38;38485;Seyssinet-Pariset;13 207;12,48;30,3;76,68;-22,39;-;-;-;-;21,32;3,73
38;38544;Vienne;30 749;19,13;29,05;55,99;-16,87;-;-;-;-;14,93;7,52
38;38553;Villefontaine;19 029;17,46;35,82;107,19;-;-;-;-;-;17;-
38;38553;Villefontaine;;-;-;-;-;-;-;-;-;-;14,47
38;38563;Voiron;20 442;13,54;23,8;65,61;-16,61;-;-;-;-;16,83;8,82
38;38563;Voiron;;-;-;-;-;-;0,41;0,73;2;0;-
39;39198;Dole;26 015;11,69;18,39;32,22;11,92;-;1,64;2,92;3,69;1,64;11,38
39;39300;Lons-le-Saunier;19 966;14,27;24,83;40,07;-12,14;-;-;-;-;11,22;9,15
39;39478;Saint-Claude;12 798;17,35;34,96;47,7;-14,18;-;1,23;2,49;3,47;12,93;11,63
40;40046;Biscarrosse;11 369;16,55;18,55;63,84;-18,26;-;-;-;-;16,98;-
40;40088;Dax;20 649;15,8;19,77;28,88;-;-;-;-;-;18,21;11,22
40;40192;Mont-de-Marsan;32 234;18,61;18,25;32;-19,71;-;1,88;1,84;4,12;19,19;8,37
40;40279;Saint-Paul-lès-Dax;11 571;15,62;17,35;49,8;-;-;-;-;-;18,21;10,72
